Blog	four	here	want	how	re	best	and	things	had	right	old	people	for	time	so	years	one	take	going	where	many	s	being	around	world	her	with	an	as	at	to	th	full	more	company	its	really	also	see	d	be	by	into	up	us	video	great	next	this	could	should	ve	does	much	work	after	then	them	they	another	do	we	com	has	the	night	post	way	was	can	not	now	year	that	than	only	these	media	read	t	your	you	very	a	both	while	some	she	well	he	even	new	off	before	better	don	m	said	three	is	it	in	if	make	just	down	did	may	nbsp	thing	think	first	little	were	show	get	different	same	money	two	through	good	most	big	back	ll	day	have	like	about	but	every	would	me	my	over	each	days	been	why	no	when	today	any	come	week	on	of	or	there	all	what	health	story	i	his	are	long	once	find	use	from	few	something	own	our	out	their	which	who	last	will	know	because	made	other
Slashdot	4	0	2	7	2	1	71	1	2	0	5	4	29	3	2	3	7	1	0	6	1	46	6	4	1	0	28	16	13	30	121	4	2	25	13	16	0	7	2	1	18	18	5	6	1	1	0	2	27	4	4	0	2	1	2	3	1	3	13	3	1	3	1	18	185	0	3	0	8	8	13	3	8	48	4	3	4	3	18	2	5	1	0	78	3	2	5	1	1	8	1	17	3	1	1	0	0	14	2	27	37	50	1	3	2	2	4	4	0	0	1	1	0	2	2	0	4	0	0	4	0	0	4	0	3	0	2	8	3	5	12	0	5	0	1	5	3	2	9	0	4	11	5	4	2	2	38	92	14	3	7	3	2	16	4	6	16	1	1	1	3	33	0	1	0	3	5	7	10	5	2	23	1	3	0	3
Matt Cutts: Gadgets, Google, and SEO	0	1	0	0	3	0	13	0	0	0	0	3	8	1	1	2	2	1	0	0	1	7	0	1	2	0	5	2	2	5	14	1	2	2	0	0	1	2	1	1	0	0	0	0	0	1	1	2	4	1	1	4	0	1	1	1	0	2	1	1	0	3	0	2	25	0	0	1	5	3	0	3	3	15	0	0	1	1	1	3	5	10	0	23	0	0	2	0	0	3	0	0	1	0	1	0	0	0	1	2	6	3	1	2	3	0	2	0	0	0	0	0	2	0	0	2	0	0	1	0	1	1	0	0	1	0	3	2	3	6	2	1	1	1	6	2	1	2	2	0	1	0	1	0	0	0	6	17	4	0	0	1	0	0	21	0	3	0	0	0	0	5	0	0	0	0	1	1	0	1	3	0	0	0	0	0
Gothamist	0	7	2	3	3	2	52	0	4	0	5	2	20	2	4	3	5	0	0	0	0	35	2	2	6	6	11	12	8	23	55	4	0	48	1	6	0	5	1	0	4	7	9	10	5	2	1	1	18	0	3	1	0	1	0	12	1	1	7	2	1	7	0	10	135	6	2	2	21	5	4	5	8	14	3	1	0	0	0	5	7	16	2	74	3	4	2	6	2	10	1	15	7	3	1	4	3	2	6	14	10	52	2	3	1	4	0	2	11	0	2	7	0	3	3	6	0	0	0	2	2	1	1	2	2	1	6	9	6	3	1	1	0	1	1	5	0	3	6	0	2	9	5	0	1	6	34	62	6	4	3	1	4	0	1	6	10	3	1	1	0	14	3	0	0	0	7	6	12	9	11	4	2	4	0	1
Techdirt.	5	25	3	32	20	10	348	14	47	14	2	24	136	27	33	21	50	14	18	17	21	229	29	12	8	11	95	62	110	50	543	5	9	45	16	44	16	37	6	7	96	87	19	39	16	2	0	5	159	16	28	27	19	16	10	20	18	24	53	14	28	72	4	78	990	2	8	14	90	26	111	18	6	345	27	26	14	10	7	82	9	66	12	342	9	24	34	11	20	29	34	27	8	10	7	9	10	14	3	192	230	211	43	19	47	18	16	25	2	13	11	33	9	23	6	16	4	6	5	11	11	10	13	11	16	7	5	71	30	52	85	8	38	3	8	30	3	4	42	13	33	28	8	27	6	14	126	401	75	38	35	32	2	42	50	29	70	13	3	5	17	68	16	12	22	19	63	37	41	35	8	32	9	21	7	36
Joho the Blog	2	2	1	3	1	0	16	2	1	1	1	2	5	0	8	1	1	1	1	0	3	15	1	0	2	1	7	3	2	2	12	0	0	0	0	3	0	1	2	1	1	3	2	0	0	0	0	0	7	0	0	1	2	1	0	0	0	0	0	0	2	1	5	0	44	0	10	1	2	5	2	0	0	8	1	0	0	0	1	6	0	8	1	21	0	0	1	2	0	1	0	1	0	2	1	3	3	0	0	6	3	7	1	1	2	0	3	0	0	0	1	11	0	0	0	1	0	2	0	0	0	2	2	0	0	1	1	3	0	4	4	0	0	0	2	0	0	2	2	4	0	1	0	0	0	1	17	15	3	0	2	2	0	0	21	3	2	0	0	2	0	1	3	0	1	3	2	0	3	3	1	1	2	2	0	2
ongoing by Tim Bray	0	1	1	0	10	0	33	1	4	1	1	0	11	1	5	0	4	1	0	2	0	19	0	0	1	3	7	5	1	3	25	0	0	3	0	3	1	0	2	3	9	3	0	0	0	5	1	0	7	0	1	5	3	1	5	0	1	1	2	1	1	6	7	1	50	0	1	1	6	5	2	2	2	13	2	0	1	0	4	6	2	8	1	28	1	1	7	2	0	2	0	5	1	0	0	1	5	3	4	13	22	24	2	0	5	0	0	0	0	7	2	1	0	1	0	3	0	0	0	0	0	3	2	1	0	0	1	5	0	11	6	1	0	2	6	0	1	1	2	0	3	4	0	3	0	1	13	22	9	5	3	5	0	0	39	0	1	0	0	1	3	2	2	1	0	1	2	0	2	2	1	0	1	1	0	1
Neil Gaiman's Journal	7	34	16	34	17	8	675	55	72	17	18	65	169	42	60	20	50	12	37	14	13	201	10	13	24	21	118	72	78	87	463	13	5	37	0	9	29	15	17	36	114	71	27	42	51	1	7	15	95	31	18	31	5	38	15	13	18	39	71	7	40	189	29	30	975	16	10	19	168	50	70	29	43	221	14	24	15	6	24	83	24	198	27	422	8	17	37	34	14	89	20	76	10	26	6	12	62	35	15	134	352	310	53	26	16	6	20	12	308	21	15	29	9	58	11	34	11	5	16	20	10	37	11	5	35	29	21	81	61	105	78	7	44	87	72	24	14	20	44	15	16	59	6	15	11	15	163	383	89	53	58	60	0	13	422	54	78	23	5	11	10	99	19	20	6	31	65	23	47	53	29	50	16	33	19	21
Joel on Software	5	9	28	20	47	6	222	15	11	9	3	44	67	12	57	5	17	6	14	8	6	58	5	12	11	0	52	22	32	32	290	2	4	21	10	3	18	4	9	5	46	16	13	37	14	0	26	4	47	13	5	4	4	8	18	4	8	24	74	1	31	135	3	18	339	0	4	20	35	50	23	21	5	163	15	6	9	0	4	67	31	175	9	222	11	9	23	0	11	1	18	22	6	4	11	22	7	3	8	106	99	103	32	22	30	4	4	4	21	7	10	16	13	11	2	31	11	5	18	8	2	6	12	12	5	13	2	51	23	26	36	15	13	14	10	9	6	4	9	9	5	21	10	17	5	0	66	188	41	22	42	25	1	2	52	0	52	4	2	10	13	22	9	11	9	34	24	21	26	18	3	21	14	18	4	16
Steve Pavlina	0	2	1	2	3	23	40	0	3	0	3	52	79	20	27	4	2	3	0	0	7	9	2	0	2	0	9	2	4	3	65	2	1	2	0	0	1	1	5	0	4	2	1	4	1	4	0	2	14	0	1	28	2	0	1	1	2	2	5	1	4	4	0	2	92	0	21	1	0	25	3	1	0	9	2	0	1	0	20	6	19	79	1	56	0	45	7	0	1	1	0	4	0	1	0	4	2	0	0	41	72	17	10	23	3	0	3	3	0	0	20	23	0	1	0	2	0	2	22	2	2	3	1	0	1	23	9	2	2	4	4	0	0	1	31	0	1	5	1	2	2	1	5	0	0	2	50	21	2	3	1	8	0	0	50	22	2	2	0	23	1	6	0	0	2	0	1	4	1	3	2	7	0	1	0	0
The Full Feed from HuffingtonPost.com	0	0	0	0	2	0	16	0	4	0	0	0	5	1	2	1	2	1	0	0	0	17	0	1	0	0	0	1	5	3	20	2	0	24	0	2	0	1	1	5	0	1	1	0	0	0	0	1	4	4	0	1	0	0	0	2	0	0	2	0	1	1	0	1	48	2	2	0	6	3	2	1	1	4	2	0	0	0	10	5	0	5	2	17	0	0	1	1	0	2	2	1	1	0	1	2	1	1	1	6	5	28	3	0	1	1	0	0	0	1	0	6	0	7	0	1	0	1	0	0	0	2	3	0	3	0	0	6	3	2	4	0	1	0	0	0	0	0	3	0	0	0	0	2	0	0	19	15	2	0	1	4	2	0	1	5	2	0	0	0	0	3	0	0	0	0	0	1	0	4	0	1	1	0	4	1
Kotaku	0	2	2	2	2	5	22	2	0	3	0	2	8	2	3	1	7	2	0	2	2	31	0	2	3	1	12	7	3	3	14	0	0	28	1	2	0	0	1	2	2	4	3	1	0	2	2	0	9	2	0	4	0	1	2	4	0	1	3	4	4	3	0	7	58	0	0	1	2	4	2	3	1	11	2	2	0	2	24	2	1	12	0	31	0	3	3	0	3	2	3	3	2	1	0	0	0	3	1	21	15	25	3	2	5	2	1	0	0	1	0	2	1	2	1	0	1	0	0	3	0	0	0	1	4	2	0	0	1	3	3	2	2	2	1	3	0	1	3	0	2	0	5	1	2	2	13	25	4	0	7	4	0	2	4	6	2	1	1	1	0	9	1	2	1	2	4	1	1	0	1	3	2	2	0	0
Derek Powazek	0	6	1	7	7	1	70	1	3	4	2	2	33	4	7	5	13	1	4	0	1	43	0	1	3	9	17	5	10	7	52	0	1	6	1	1	2	2	3	2	7	5	4	11	4	0	5	1	9	1	1	11	0	1	3	4	7	2	6	3	7	7	1	5	97	2	3	0	13	8	6	10	4	19	2	1	2	2	0	10	6	19	1	62	2	1	3	7	2	5	1	5	1	1	0	4	12	3	4	17	39	35	9	1	11	2	4	0	0	4	4	3	7	2	3	6	0	3	3	9	1	1	2	1	2	4	2	3	9	9	14	3	0	15	22	5	1	4	8	1	2	11	2	0	3	3	14	39	5	7	10	9	0	3	69	3	11	1	2	1	0	5	5	8	2	3	9	4	2	1	7	5	6	3	2	3
Captain's Quarters	0	0	0	1	0	1	12	0	3	0	0	0	8	1	0	2	2	1	0	0	0	4	0	0	1	1	4	1	4	5	22	0	0	3	0	3	0	2	0	0	4	4	2	1	3	0	0	1	1	0	2	0	0	0	1	3	0	0	2	1	0	1	0	7	50	0	1	0	1	1	3	0	0	9	2	1	0	1	0	1	0	2	0	20	0	1	1	1	1	6	1	0	1	0	0	0	0	0	0	0	2	14	1	0	0	2	3	0	0	0	0	2	0	0	1	0	0	1	1	0	1	0	0	1	2	0	2	2	0	3	1	0	1	2	2	1	1	0	2	0	1	2	2	0	0	1	14	20	0	0	0	0	2	4	3	6	0	0	1	0	1	3	1	0	0	0	4	6	0	1	0	5	0	0	0	2
plasticbag.org	0	1	0	1	2	0	15	1	1	1	0	4	10	3	1	2	2	2	5	0	2	7	2	0	0	0	6	0	5	6	15	0	0	10	2	1	0	0	0	1	5	1	1	2	2	0	1	0	3	3	2	3	0	1	0	0	0	3	1	1	1	4	0	1	25	0	1	1	3	1	0	1	1	3	0	0	2	1	6	5	1	3	1	13	0	1	6	0	0	1	0	2	0	0	1	1	0	0	0	0	11	8	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	1	0	0	2	0	2	0	0	1	1	3	2	4	1	0	0	1	3	2	0	1	2	0	0	0	0	1	0	0	11	18	1	2	6	0	0	1	16	1	4	0	0	1	0	2	1	1	0	0	1	0	3	1	3	2	2	0	1	0
Deadspin	3	2	0	2	1	5	26	0	0	0	0	0	10	1	5	1	5	1	0	0	0	33	0	0	1	1	7	8	7	9	31	1	2	29	1	0	1	2	1	0	4	5	4	7	3	2	1	1	9	0	2	0	0	1	2	1	1	2	0	0	1	5	1	3	75	5	0	1	11	3	1	2	2	19	6	4	0	5	25	8	5	13	2	24	0	2	1	0	2	5	3	0	3	3	2	2	1	2	2	12	14	21	3	2	7	1	1	1	0	1	2	3	1	2	1	1	0	0	0	6	0	2	4	0	0	1	2	3	2	5	4	2	1	0	1	3	0	0	0	2	3	1	2	0	0	0	22	27	4	2	8	1	0	0	5	5	4	2	1	0	1	6	0	2	1	5	3	2	0	4	2	3	2	3	0	2
TMZ.com	0	0	1	1	1	0	20	0	2	1	1	0	7	0	1	0	1	0	2	4	0	26	2	1	3	6	11	2	3	12	22	0	1	2	0	0	1	0	2	1	1	4	2	6	0	8	0	0	3	0	0	0	0	2	0	0	1	0	1	1	0	3	0	5	37	3	0	1	15	4	0	4	0	4	1	0	0	0	0	3	2	5	0	31	1	2	0	9	0	12	1	2	3	1	0	0	3	0	0	9	11	16	3	1	2	4	0	1	0	0	0	0	2	0	3	2	0	0	0	0	0	1	0	3	1	2	1	0	0	2	1	0	0	1	0	0	0	0	1	0	0	2	1	0	2	0	12	18	0	0	5	0	0	0	7	16	4	1	0	0	0	3	1	1	0	1	2	0	0	6	1	1	0	3	2	0
kottke.org	5	8	5	23	6	12	164	9	12	12	6	17	55	20	18	15	23	4	3	3	6	90	6	7	5	9	43	21	31	35	119	4	3	14	4	2	4	10	10	5	26	22	8	14	4	35	10	3	46	7	2	13	5	11	6	8	7	9	24	2	18	21	0	7	325	2	5	9	27	20	21	16	7	69	9	3	5	4	7	38	13	53	9	181	3	2	14	11	4	25	11	15	3	9	6	18	12	3	1	69	75	115	14	9	16	3	2	3	208	6	4	14	6	9	2	6	6	5	2	8	6	7	8	2	9	11	2	18	35	34	42	5	4	12	24	4	5	2	8	8	9	12	1	1	4	5	46	149	20	17	19	27	2	1	113	22	31	3	2	4	4	18	8	8	2	9	13	13	11	17	6	8	15	4	7	8
O'Reilly Radar	10	0	0	0	3	0	6	1	1	1	0	1	3	0	0	0	0	0	0	0	2	7	0	1	0	0	2	3	1	2	13	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	3	2	0	0	0	0	0	2	1	0	1	0	1	2	3	4	22	0	0	1	0	1	0	2	0	10	0	1	1	0	0	0	0	3	0	8	1	0	0	1	0	0	0	3	0	0	0	0	0	0	1	10	7	4	1	0	0	0	0	7	0	1	0	0	0	1	0	0	0	1	0	0	2	0	2	0	0	0	0	0	1	0	1	1	0	2	1	0	0	0	0	0	3	0	0	0	0	0	2	10	1	1	6	1	0	2	0	0	2	0	0	0	0	6	0	0	1	0	0	2	0	1	0	1	0	1	0	0
ReadWrite	0	0	0	1	0	0	12	1	0	0	0	0	9	0	2	0	2	1	0	0	1	10	2	0	1	0	7	2	5	0	27	0	0	10	1	3	0	1	1	0	6	3	2	1	0	0	0	0	6	3	1	0	0	2	0	0	0	1	1	1	2	0	0	3	41	0	10	1	0	0	6	0	0	6	0	1	1	0	10	0	4	5	0	19	0	3	0	0	0	1	0	4	1	1	0	0	0	0	0	8	3	11	1	1	0	0	2	1	0	0	0	10	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	1	2	4	0	1	0	0	4	0	0	3	0	1	2	0	0	0	4	16	13	1	0	2	2	0	0	0	1	9	0	0	1	0	2	0	0	0	0	0	0	1	0	1	3	0	0	0	1
Lifehack	0	2	0	3	1	1	11	0	1	0	1	4	4	1	1	0	1	0	1	0	3	3	3	0	1	0	5	1	2	2	22	0	0	5	0	0	0	0	2	0	7	4	4	1	1	0	3	0	8	2	4	2	1	0	1	2	0	1	1	0	2	7	1	2	45	0	20	0	0	9	1	0	3	7	3	0	4	0	2	7	10	31	0	19	0	1	1	0	2	0	3	2	1	0	2	5	0	0	0	13	3	9	8	2	1	2	0	0	0	0	1	20	1	1	0	2	1	0	1	0	0	2	2	3	0	3	1	7	1	2	2	0	5	0	1	0	0	1	0	0	2	5	2	0	0	0	20	9	2	0	5	3	6	0	5	0	10	1	0	0	2	2	0	0	0	5	2	2	2	5	0	1	2	0	0	0
Lifehacker	1	2	4	3	5	6	24	0	0	2	1	2	23	3	5	2	7	1	1	1	0	23	2	0	0	0	13	6	5	5	28	0	1	29	1	1	2	2	0	2	5	3	1	8	1	1	0	0	7	2	2	3	0	0	2	0	0	2	1	0	6	11	0	3	45	0	0	2	7	12	3	3	1	14	2	3	1	3	25	5	19	35	0	34	0	3	2	0	1	0	3	0	1	2	6	2	0	4	1	15	20	16	8	6	4	0	2	1	0	1	0	1	0	3	1	1	2	0	1	0	1	2	1	0	2	3	2	4	3	4	7	0	2	0	2	3	3	0	0	4	0	4	4	1	4	0	10	25	7	2	5	6	0	0	2	2	4	3	0	1	0	7	2	1	0	4	5	2	1	1	2	0	2	4	0	1
Boing Boing	0	2	4	4	2	1	47	4	4	2	2	5	25	6	8	1	5	4	1	1	5	47	1	0	3	14	18	3	11	9	68	2	1	28	1	3	4	2	1	4	10	9	5	3	0	4	3	0	16	1	0	0	1	0	6	2	1	0	9	1	2	5	1	3	125	1	1	5	10	10	4	3	3	22	3	3	2	1	0	7	11	22	2	51	2	1	3	5	0	5	6	6	6	3	1	2	1	2	0	25	29	29	7	7	3	0	2	2	3	2	1	6	0	7	0	5	2	1	1	2	1	0	4	0	2	1	2	3	7	5	6	3	3	3	8	4	1	0	1	2	5	6	3	2	1	1	23	55	9	4	2	5	0	3	11	2	8	1	2	2	1	16	0	1	2	2	7	7	4	2	2	5	1	2	4	1
WIRED	0	0	0	2	1	0	7	0	0	0	0	2	8	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	1	0	15	0	0	3	0	0	1	0	2	0	3	0	0	0	1	0	2	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	1	27	0	10	0	3	0	0	1	2	1	3	0	0	1	0	5	2	3	0	12	0	0	0	0	0	0	1	7	1	0	0	1	0	0	2	4	4	4	2	1	3	1	0	1	0	0	0	12	0	2	0	0	1	0	0	0	0	0	0	1	0	0	2	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	13	4	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
Oilman	0	0	1	3	2	0	17	0	2	0	1	4	3	1	4	1	2	1	0	0	2	8	1	1	0	0	0	0	3	2	15	0	0	2	0	0	5	1	3	0	2	5	1	4	0	0	0	0	3	1	0	2	0	3	1	0	0	0	1	0	0	5	1	2	21	0	2	1	1	1	2	3	1	6	0	1	0	0	0	3	0	4	0	13	1	0	3	0	2	0	1	3	1	0	0	1	1	0	0	6	17	9	1	0	2	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	2	1	1	1	0	0	4	2	3	2	1	2	5	6	1	0	2	2	3	1	1	2	1	0	1	5	9	2	0	1	3	0	1	24	0	1	0	0	0	1	2	1	0	1	1	1	1	0	0	1	0	2	0	0	0
Guy Kawasaki	1	1	1	10	1	0	19	0	0	0	0	2	8	1	3	0	0	0	0	0	1	11	0	0	0	0	3	2	1	3	26	0	0	1	4	0	0	2	1	1	1	2	1	1	0	0	0	2	4	0	0	0	0	0	1	0	0	1	4	0	6	0	0	1	38	0	12	0	1	0	2	0	0	6	2	2	1	1	0	3	3	6	0	29	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	7	8	9	3	0	0	0	0	2	0	0	0	10	0	3	0	0	0	0	2	3	0	1	2	0	0	0	3	2	3	2	1	0	0	1	3	0	0	2	0	4	0	2	0	1	0	0	12	14	3	6	2	0	0	0	8	0	8	0	2	0	1	3	0	0	1	0	0	3	0	2	0	1	0	3	0	1
Seth Godin's Blog on marketing, tribes and respect	0	1	0	1	4	0	4	1	0	0	1	2	3	0	0	0	6	0	1	1	0	7	0	0	2	0	4	1	0	2	11	0	0	3	0	0	0	0	0	0	4	4	0	0	0	0	2	0	2	1	0	2	2	0	3	0	0	0	0	0	3	3	0	2	29	0	0	2	0	1	4	0	0	12	1	0	1	0	0	2	3	9	0	16	0	1	1	0	1	0	0	2	0	0	0	0	1	0	0	13	14	6	5	3	1	0	0	0	10	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	5	1	2	1	0	0	1	0	1	0	0	1	0	3	2	0	2	0	0	7	8	6	1	1	3	0	0	5	0	0	0	0	0	0	0	0	5	0	1	1	0	1	1	0	4	1	5	0	1
